ID Товара,Артикул / Модель,Остаток,Цена,Путь к фото,Название UA,Название RU,
67,С6,777,200,data/1 - sets/С1-50/С6.png,Красно-золотой комплект чашка В. Код: С6,Красно-золотой комплект чашка В. Код: С6,
1821,С170,777,420.0,data/1 - sets/С151-200/С170_3.jpg,"Кружевной комплект цвета мята, L. Код: С170","Кружевной комплект цвета мята, L. Код: С170",
55,Б46,777,120.0,data/2 - bras_bralets/Б1-50/46.JPG,"Бюстгальтер кружевной &quot;Галина&quot; в чашке С, белый","Бюстгальтер кружевной &quot;Галина&quot; в чашке С, белый",
56,Б45,777,120.0,data/2 - bras_bralets/Б1-50/45.JPG,"Бюстгальтер кружевной &quot;Галина&quot; в чашке С, чёрный","Бюстгальтер кружевной &quot;Галина&quot; в чашке С, чёрный",
57,Б49,777,60.0,data/2 - bras_bralets/Б1-50/49.JPG,Белый бюстгальтер с пуш-ап в чашке 80С. Код: Б49,Белый бюстгальтер с пуш-ап в чашке 80С. Код: Б49,
2957,С55,777,900.0,data/1 - sets/С51-100/55_22.jpg,Черный гладкий комплект Victoria\,Черный гладкий комплект Victoria\,
2956,С54,777,1250.0,data/1 - sets/С51-100/54_10.jpg,Черный комплект Victoria\,Черный комплект Victoria\,
1074,Н46,777,20.0,data/tights_socks/Н46.jpg,Чёрные мужские носки гладкие &quot;Классик&quot;,Чёрные мужские носки гладкие &quot;Классик&quot;,
52,Б43,777,100.0,data/2 - bras_bralets/Б1-50/43.JPG,"Бежевый бюстгальтер Astoria кружевной, в чашке 85B","Бежевый бюстгальтер Astoria кружевной, в чашке 85B",
628,Н27,777,23.0,data/tights_socks/Н27.jpg,"Детские махровые носочки, с 3 до 6 лет","Детские махровые носочки, с 3 до 6 лет",
1077,Н42,777,20.0,data/tights_socks/Н42.jpg,"Белые мужские носки &quot;Укороченные&quot; р.27, 29","Белые мужские носки &quot;Укороченные&quot; р.27, 29",
632,А33,777,130.0,data/a/A33.png,Ажурные акриловые чулки. Код: А33,Ажурные акриловые чулки. Код: А33,
1064,Н53,777,20.0,data/tights_socks/Н53.jpg,"Черные женские носки укороченные &quot;Классик&quot;, р.23-25","Черные женские носки укороченные &quot;Классик&quot;, р.23-25",
708,С24,777,260.0,data/1 - sets/С1-50/С24_1.jpg,"Комплект с пуш-апом, чашка С. Код: С24","Комплект с пуш-апом, чашка С. Код: С24",
60,Д15,777,200.0,data/4 - pajamas/Д1-50/Д15_0.jpg,"Комплект нижнего белья Indena в полоску, р.XL","Комплект нижнего белья Indena в полоску, р.XL",
66,С5,777,90.0,data/1 - sets/С1-50/С5.png,"Комплект женского белья, голубой, в чашке 90B","Комплект женского белья, голубой, в чашке 90B",
61,Д16,777,200.0,data/4 - pajamas/Д1-50/Д16.jpg,Комплект Indena в горошек 2XL. Код: Д16,Комплект Indena в горошек 2XL. Код: Д16,
761,Б164,777,170.0,data/2 - bras_bralets/Б151-200/Б164.jpg,Бюстгальтер в чашке 75A с пуш-ап. Код: Б164,Бюстгальтер в чашке 75A с пуш-ап. Код: Б164,
2544,Л21,1,2100.0,data/9 - lingerie/Л21_0.jpg,Элитное женское белье ручной работы. Код модели: Л21,Элитное женское белье ручной работы. Код модели: Л21,
1723,Б18,777,250.0,data/2 - bras_bralets/Б1-50/Б18_1.jpg,Бюстгальтер Diorella в чашке 110F. Код: Б18,Бюстгальтер Diorella в чашке 110F. Код: Б18,
