product_code	name	vendor_code	color	purchase_price	cup_type	price	photo	sizes	stock
A20	Трусики еротичні "Лілія", різні кольори. Код: А20		різні кольори	80		210	Нет фото	розовий, бордо, білий	3
A69	Еротичний набір бордо, S, M, L, XL. Код: А69	#27/13	бордо	285		699	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/51-100/A69_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/51-100/A69_1.jpg	L/XL бордо	1
A166	Сексуальний комплект з вишивкою, S. Код: А166		мікс кольорів	412		980	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/166_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/166_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/166_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/166_3.jpg	S	1
A170	Еротичний комплект кольору ізумруд, L. Код: А170		зелений	240		700	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/170_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/170_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/170_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/170_3.jpg	L	1
A183	Еротичний комплект у сітку. Код: А183	#9046-1, 9046-2	чорний, червоний	112.24		350	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/183_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/183_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/183_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/183_3.jpg	чорний, червоний	2
A195	Червоні еротичні колготки з доступом. Код: А195	#5024	червоний	118.82		250	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/195_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/195_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/151-200/195_2.jpg	червоний	1
A206	Боді сітка на тіло. Код: А206090	#8836	чорний	153.07		320	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_3.jpg	чорний	1
A206	Боді на тіло. Код: А206306	# W306	чорний	153.07		320	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_3.jpg	чорний	1
A206	Боді на тіло еротичне. Код: А206829	# W829	чорний	153.07		320	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/206_1507_3.jpg	чорний	1
A208	Трусики еротичні з доступом. Код: А208	#6030-1,6030-4	розовий	42.86		100	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/208_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/6 - erotic/201-250/208_1.jpg	розовий	1
