product_code,name,vendor_code,color,purchase_price,cup_type,price,photo,sizes,stock
А20,"Трусики еротичні ""Лілія"", різні кольори. Код: А20",,різні кольори,80,,210,,"розовий, бордо, білий",3
А69,"Еротичний набір бордо, S, M, L, XL. Код: А69",#27/13,бордо,285,,699,,L/XL бордо,1
А166,"Сексуальний комплект з вишивкою, S. Код: А166",,мікс кольорів,412,,980,,S,1
А170,"Еротичний комплект кольору ізумруд, L. Код: А170",,зелений,240,,700,,L,1
A183,Еротичний комплект у сітку. Код: А183,"#9046-1, 9046-2","чорний, червоний",112.24,,350,,"чорний, червоний",2
А195,Червоні еротичні колготки з доступом. Код: А195,#5024,червоний,118.82,,250,,червоний,1
А206,Боді сітка на тіло. Код: А206090,#8836,чорний,153.07,,320,,чорний,1
А206,Боді на тіло. Код: А206306,# W306,чорний,153.07,,320,,чорний,1
А206,Боді на тіло еротичне. Код: А206829,# W829,чорний,153.07,,320,,чорний,1
А208,Трусики еротичні з доступом. Код: А208,"#6030-1,6030-4",розовий,42.86,,100,,розовий,1
А212,Еротичний набір. Код: А212,"#3030-1, 3030-2",червоний,224.48,,520,,червоний,1
А213,Комплект еротичний L. Код: А213,"#1718-2, 1718-3",червоний,196.42,,390,,L червоний,1
А214,Еротичні трусики з бусинами. Код: А214,"#3991-1, 3991-2","чорний, червоний",47.14,,180,,"чорний, червоний",2
А217,Чоловічі стрінги із вирізом. Код: А217,"#1206-4, 1206-6","чорний, червоний",33.11,,85,,"чорний, червоний",2
K104,Панчохи еротичні. Код: К104,#2127,чорний,132,,250,,чорний,1
K106,Панчохи еротичні. Код: К106,#2078,чорно-червоний,182,,300,,чорно-червоний,1
K109,Панчохи еротичні. Код: К109,#2025,білий,132,,250,,білий,1
K110,Панчохи еротичні. Код: К110,#2014,червоний,145,,290,,червоний,1
K114,Панчохи еротичні. Код: К114,#2154,чорний,180,,340,,чорний,1
K115,Панчохи еротичні. Код: К115,#2115,чорний,130,,270,,чорний,1
K116,Панчохи еротичні. Код: К116,#2132,"чорний, червоний",180,,360,,"чорний, червоний",2
K117,Чулки еротичні. Код: К117,#2015,чорно-червоний,145,,290,,чорно-червоний,1
K124,Чулки еротичні. Код: К124,#2072,"чорний, червоний",180,,360,,"чорний, червоний",2
K125,Чулки еротичні. Код: К125,#4185,чорний,160,,320,,чорний,1
А156,"Настільна гра ""Ті + Я"" для двох 18+. Код: А156",,,400,,420,,1 шт,1
А158,Мотузка для BDSM ігор 10 метрів. Код: А158,,чорний,170,,170,,1 шт,1
А159,Пестіси (наліпки на грудях) чорні. Код: А159,,чорний,15,,60,,1 пара,1
А162,Паддл чорно-червоний для BDSM ігор. Код: А162,#5413,чорний,121.5,,280,,"XOXO, Slave",2
А173,Чоловіча шляпа циліндр високий. Код: А173,#15-230-L,чорний,345,,400,,1 шт,1
А174,"Жіноча карнавальна маска ""Леді Х"". Код: А174",#16-372,чорний,65,,120,,1 шт,1
А175,"Чоловіча карнавальна маска ""Містер Х"". Код: А175",#13-632,чорний,85,,120,,1 шт,1
А176,"Брошка-шпилька ""Кармен"" 20 см. Код: А176",#19-874,червоний,225,,300,,1 шт,1
А178,Кляп. Код: А178,#5425-1,чорно-червоний,123.46,,250,,1 шт,1
А181,Свічі низькотемпературні. Код: А181,#5510,мікс кольорів,139.15,,270,,1 набір,1
А182,Наручники для рольових ігор. Код: А182,"#5404-1, 5404-2",чорний,87.7,,220,,чорні,1
А189,Чокер на шию. Код: А189,,чорний,142,,300,,"з шипами, із тканини",2
А191,Брелок на ключі BDSM логотип триксель. Код: А191,,чорний,79,,120,,1 шт,1
А192,Шестигранний кубик Пози для дорослих ігор. Код: А192,"#0917, 0918",білий,18.5,,40,,"білий, неон",2
А194,Маска кішки на регульованій резинці. Код: А194,#4101,"чорний, бордо",164.08,,280,,"бордо, чорний",2
А196,BDSM маски на очі. Код: А196,#5401,чорний,44.53,,100,,1 шт,1
А198,Флогер (батіг) для дорослих ігор. Код: А198,#5414,чорно-червоний,101.84,,250,,1 шт,1
А199,БДСМ затискачі для сосків. Код: А199,#5409,чорний,28.29,,75,,1 пара,1
А199,БДСМ затискачі для сосків на ціпку. Код: А199,#5411,чорний,36.78,,75,,1 пара,1
А201,Розкішна жіноча маска Кішка у стразах. Код: А201,,золотий,110,,340,,золота,1
А205,Повідець (ошийник) для BDSM ігор. Код: А205,#4103,чорний,79.21,,170,,1 шт,1
А207,BDSM кляп. Код: А207,#5402,чорний,47.31,,140,,1 шт,1
А220,Бондажна стрічка для BDSM ігор. Код: А220,#5407,чорний,71.86,,150,,1 шт,1
Т1,Трусики від комплектів Код: Т1,,різні,60,,140,,"7020, 2091, 7148",15
